No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
54,Bryson Albright\AlbrBr00,23,,7,0,225,6-5,Miami (OH),3/15/1994,Rook,0,,$246177
36,Budda Baker*+\BakeBu00,21,ss,16,7,195,0-0,Washington,1/10/1996,Rook,9,Arizona Cardinals / 2nd / 36th pick / 2017,$465000
64,Khalif Barnes\BarnKh20,35,,3,0,305,6-6,Washington,4/21/1982,12,0,Jacksonville Jaguars / 2nd / 52nd pick / 2005,$176471
41,Antoine Bethea\BethAn20,33,db,15,6,203,5-11,Howard,7/27/1984,11,4,Indianapolis Colts / 6th / 207th pick / 2006,$2000000
28,Justin Bethel\BethJu00,27,rcb,16,6,200,6-0,Presbyterian,6/17/1990,5,3,Arizona Cardinals / 6th / 177th pick / 2012,$2000000
70,Evan Boehm\BoehEv00,24,RG,15,8,310,6-2,Missouri,8/19/1993,1,4,Arizona Cardinals / 4th / 128th pick / 2016,$540000
75,Alex Boone\BoonAl21,30,LG,14,13,330,6-7,Ohio St.,5/4/1987,7,5,,$1400000
27,Tyvon Branch\BranTy99,31,ss,9,9,197,5-11,Connecticut,12/11/1986,9,3,Oakland Raiders / 4th / 100th pick / 2008,$1000000
46,Aaron Brewer\BrewAa00,27,,8,0,225,6-5,San Diego St.,7/5/1990,5,0,,$775000
13,Jaron Brown\BrowJa03,27,WR,16,8,205,6-2,Clemson,1/8/1990,4,3,,$775000
12,John Brown\BrowJo02,27,wr,10,5,179,0-0,Pittsburg St.,4/3/1990,3,2,Arizona Cardinals / 3rd / 91st pick / 2014,$1797000
20,Deone Bucannon\BucaDe00,25,LB,12,12,220,6-1,Washington St.,8/30/1992,3,6,Arizona Cardinals / 1st / 27th pick / 2014,$1471255
51,Josh Bynes\ByneJo00,28,lb,14,1,239,6-1,Auburn,8/24/1989,6,2,,$775000
56,Karlos Dansby\DansKa20,36,LB,16,15,243,6-4,Auburn,11/3/1981,13,8,Arizona Cardinals / 2nd / 33rd pick / 2004,$1000000
4,Phil Dawson\dawsophi01,42,K,16,0,195,5-11,Texas,1/23/1975,18,2,,$2000000
,Jim Dray\DrayJi00,31,,1,0,253,6-5,Stanford,12/31/1986,7,0,Arizona Cardinals / 7th / 233rd pick / 2010,
49,Justin Drescher\DresJu20,29,,8,0,230,6-1,Colorado,1/1/1988,7,0,,$635292
38,Andre Ellington\ElliAn00,28,,8,0,199,5-10,Clemson,2/3/1989,4,2,Arizona Cardinals / 6th / 187th pick / 2013,$775000
11,Larry Fitzgerald*\FitzLa00,34,WR,16,16,225,6-3,Pittsburgh,8/31/1983,13,8,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
30,Rudy Ford\FordRu00,23,,10,0,205,5-11,Auburn,11/1/1994,Rook,1,Arizona Cardinals / 6th / 208th pick / 2017,$465000
37,D.J. Foster\FostD.01,24,,7,0,195,6-0,Arizona St.,11/22/1993,1,1,,$508235
7,Blaine Gabbert\GabbBl00,28,qb,5,5,235,6-5,Missouri,10/15/1989,6,2,Jacksonville Jaguars / 1st / 10th pick / 2011,$900000
10,Brittan Golden\GoldBr00,29,,13,0,186,5-11,West Texas A&M,7/20/1988,5,1,,$690000
44,Markus Golden\GoldMa00,26,lb,4,4,255,6-2,Missouri,3/13/1991,2,2,Arizona Cardinals / 2nd / 58th pick / 2015,$791212
42,C.J. Goodwin\GoodC.00,27,,2,0,190,6-3,California (PA),2/4/1990,3,0,,$540000
84,Jermaine Gresham\GresJe00,29,TE,14,14,261,6-5,Oklahoma,6/16/1988,7,2,Cincinnati Bengals / 1st / 21st pick / 2010,$2000000
95,Rodney Gunter\GuntRo00,25,dl,16,3,305,6-5,Delaware St.,1/19/1992,2,3,Arizona Cardinals / 4th / 116th pick / 2015,$615000
48,Bronson Hill\HillBr01,24,,2,0,220,5-10,East. Michigan,1/2/1993,Rook,0,,$158825
69,Will Holden\HoldWi00,24,lt,7,5,311,,Vanderbilt,9/14/1993,Rook,2,Arizona Cardinals / 5th / 157th pick / 2017,$465000
85,Gabe Holmes\HolmGa00,26,,2,0,256,6-5,Purdue,3/29/1991,Rook,0,,$95294
74,D.J. Humphries\HumpD.00,24,lt,5,5,290,6-5,Florida,12/28/1993,1,2,Arizona Cardinals / 1st / 24th pick / 2015,$1245192
76,Mike Iupati\IupaMi20,30,lg,1,1,329,6-5,Idaho,5/12/1987,7,0,San Francisco 49ers / 1st / 17th pick / 2010,$8000000
23,Chris Johnson\JohnCh04,32,rb,4,3,195,5-11,East Carolina,9/23/1985,9,1,Tennessee Titans / 1st / 24th pick / 2008,$847059
31,David Johnson\JohnDa08,26,rb,1,1,224,6-1,Northern Iowa,12/16/1991,2,1,Arizona Cardinals / 3rd / 86th pick / 2015,$615000
55,Chandler Jones*+\JoneCh03,27,LB,16,16,247,6-5,Syracuse,7/12/1990,5,15,New England Patriots / 1st / 21st pick / 2012,$7000000
2,Andy Lee\LeexAn20,35,P,16,0,205,6-0,Pittsburgh,8/11/1982,13,3,San Francisco 49ers / 6th / 188th pick / 2004,$1000000
50,Gabe Martin\MartGa00,25,,3,0,236,6-2,Bowling Green,6/5/1992,2,0,,$158825
96,Kareem Martin\MartKa00,25,LB,16,10,272,6-6,North Carolina,2/19/1992,3,5,Arizona Cardinals / 3rd / 84th pick / 2014,$710000
32,Tyrann Mathieu\MathTy00,25,FS,16,16,186,5-9,LSU,5/13/1992,4,6,Arizona Cardinals / 3rd / 69th pick / 2013,$4750000
97,Josh Mauro\MaurJo00,26,dl,13,7,271,6-6,Stanford,2/17/1991,3,4,,$750000
34,Harlan Miller\MillHa00,23,,5,0,182,6-0,SE Louisiana,6/20/1994,Rook,0,Arizona Cardinals / 6th / 205th pick / 2016,$319118
80,Ifeanyi Momah\MomaIf00,28,te,9,2,239,6-7,Boston Col.,10/23/1989,3,0,,$465000
62,Daniel Munyer\MunyDa00,25,,1,0,295,6-2,Colorado,3/4/1992,2,0,,$465000
14,JJ Nelson\NelsJJ00,25,wr,16,5,156,5-10,Ala-Birmingham,4/24/1992,2,4,Arizona Cardinals / 5th / 159th pick / 2015,$615000
87,Troy Niklas\NiklTr00,25,TE,15,11,270,6-7,Notre Dame,9/18/1992,3,1,Arizona Cardinals / 2nd / 52nd pick / 2014,$968632
90,Robert Nkemdiche\NkemRo00,23,,12,0,294,6-3,Mississippi,9/19/1994,1,2,Arizona Cardinals / 1st / 29th pick / 2016,$840936
78,Vinston Painter\PainVi00,28,,6,0,306,6-4,Virginia Tech,10/11/1989,4,0,Denver Broncos / 6th / 173rd pick / 2013,$222353
3,Carson Palmer\PalmCa00,38,qb,7,7,230,6-5,USC,12/27/1979,13,5,Cincinnati Bengals / 1st / 1st pick / 2003,$15500000
35,Elijhaa Penny\PennEl00,24,,16,0,247,6-2,Idaho,8/17/1993,Rook,1,,$465000
98,Corey Peters\PeteCo00,29,DL,12,12,294,6-4,Kentucky,6/8/1988,7,5,Atlanta Falcons / 3rd / 83rd pick / 2010,$2750000
23,Adrian Peterson\PeteAd01,32,rb,6,6,217,6-2,Oklahoma,3/21/1985,10,3,Minnesota Vikings / 1st / 7th pick / 2007,$1000000
21,Patrick Peterson*\PetePa00,27,LCB,16,16,220,6-0,LSU,7/11/1990,6,9,Arizona Cardinals / 1st / 5th pick / 2011,$9750000
72,Olsen Pierre\PierOl00,26,dl,14,7,293,6-4,Miami (FL),8/27/1991,Rook,4,,$540000
43,Haason Reddick\ReddHa00,23,lb,16,3,237,6-1,Temple,9/22/1994,Rook,3,Arizona Cardinals / 1st / 13th pick / 2017,$465000
92,Frostee Rucker\RuckFr99,34,DL,16,16,270,6-3,USC,9/14/1983,10,7,Cincinnati Bengals / 3rd / 91st pick / 2006,$1000000
86,Ricky Seals-Jones\SealRi00,22,te,10,1,243,,Texas A&M,3/15/1995,Rook,1,,$410294
53,A.Q. Shipley\ShipA.20,31,C,16,16,290,5-11,Penn St.,5/22/1986,8,6,Pittsburgh Steelers / 7th / 226th pick / 2009,$775000
5,Drew Stanton\StanDr00,33,qb,5,4,236,6-3,Michigan St.,5/7/1984,9,0,Detroit Lions / 2nd / 43rd pick / 2007,$2550000
79,Max Tuerk\TuerMa00,23,,1,0,285,6-5,USC,1/27/1994,Rook,0,San Diego Chargers / 3rd / 66th pick / 2016,$254118
68,Jared Veldheer\VeldJa20,30,RT,13,13,322,6-8,Hillsdale,6/14/1987,7,5,Oakland Raiders / 3rd / 69th pick / 2010,$6500000
71,Earl Watford\WatfEa00,27,RG,10,9,300,6-4,James Madison,6/24/1990,4,4,Arizona Cardinals / 4th / 116th pick / 2013,$592647
73,John Wetzel\WetzJo00,26,rt,16,11,315,6-7,Boston Col.,2/5/1991,4,5,,$540000
26,Brandon Williams\WillBr07,25,,16,0,197,5-11,Texas A&M,9/9/1992,1,1,Arizona Cardinals / 3rd / 92nd pick / 2016,$563500
16,Chad Williams\WillCh05,23,wr,6,1,204,6-1,Grambling St.,10/19/1994,Rook,0,Arizona Cardinals / 3rd / 98th pick / 2017,$465000
33,Kerwynn Williams\WillKe05,26,rb,16,6,196,5-8,Utah St.,6/9/1991,4,3,Indianapolis Colts / 7th / 230th pick / 2013,$690000
25,Tramon Williams\WillTr99,34,RCB,13,9,182,5-11,Louisiana Tech,3/16/1983,10,4,,$1000000
94,Xavier Williams\WillXa00,25,dl,11,1,311,6-4,Northern Iowa,1/18/1992,2,2,,$615000
58,Scooby Wright\WrigSc00,23,,10,0,239,6-0,Arizona,8/28/1994,1,1,Cleveland Browns / 7th / 250th pick / 2016,$412945